namespace,pod,container,timestamp,mem-average
free5gc,free5gc-nwdaf-anlf-7cb5c4b977-6q989,nwdaf-anlf,1733550125348,0.035546875
free5gc,free5gc-nwdaf-anlf-7cb5c4b977-6q989,nwdaf-anlf,1733550185348,0.035546875
free5gc,free5gc-nwdaf-anlf-7cb5c4b977-6q989,nwdaf-anlf,1733550245348,0.035546875
free5gc,free5gc-nwdaf-anlf-7cb5c4b977-6q989,nwdaf-anlf,1733550305348,0.035546875
