namespace,pod,container,timestamp,cpu-average,mem-average
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731793680000,0.0004825896972086,0.118953125
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731793740000,0.0001096538691506,0.118953125
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731793800000,0.0008198873988169,0.118953125
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731793860000,0.0002572481821061,0.1189583333333333
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731793920000,0.0006644891799839,0.1189739583333333
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731793980000,0.0001168744190165,0.118953125
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731794040000,0.0003684856518049,0.118953125
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731794100000,0.0002734137194388,0.118953125
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731794160000,0.0005590113851129,0.117890625
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731794220000,0.0001674972687451,0.115765625
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731794280000,0.0005994172310789,0.115765625
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731794340000,0.0001332427892075,0.115765625
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731794400000,0.0003270132155169,0.1157734375
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731794460000,0.0001747515829115,0.1157916666666666
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731794520000,0.0004800067457545,0.115796875
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731794580000,0.0001515936338335,0.115796875
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731794640000,0.0006366007839212,0.115796875
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731794700000,0.0001404391956901,0.115796875
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731794760000,0.0004176913485161,0.11578125
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731794820000,0.000108525204498,0.1157916666666666
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731794880000,0.0004863675197232,0.1156927083333333
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731794940000,0.0002069915520786,0.1156354166666666
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731795000000,0.000408838109046,0.115625
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731795060000,0.0002017511803986,0.115625
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731795120000,0.0004204422051245,0.1137578125
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731795180000,0.0001945363103403,0.113328125
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731795240000,0.0004743159947035,0.113328125
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731795300000,0.0001208695896695,0.113328125
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731795360000,0.0004788056235269,0.113328125
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731795420000,0.0001320070011667,0.113328125
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731795480000,0.0004360648439932,0.113328125
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731795540000,0.0001081287792723,0.113328125
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731795600000,0.0005022245229642,0.1126770833333333
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731795660000,6.945162263295206e-05,0.1126875
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731795720000,0.0004478075475317,0.1126927083333333
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731795780000,0.0001546298579928,0.112703125
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731795840000,0.0005925262460585,0.112703125
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731795900000,9.470703967904251e-06,0.112703125
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731795960000,0.0004057283714525,0.112703125
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731796020000,0.0,0.112703125
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731796080000,0.0004235920452468,0.112703125
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731796140000,0.0,0.112703125
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731796200000,0.0,0.112703125
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731796260000,0.0,0.1128125
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731796320000,0.0,0.1128125
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731796380000,0.0,0.112890625
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731796440000,0.0,0.11290625
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731796500000,0.0001217697591158,0.11290625
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731796560000,0.0001492532009609,0.11289453125
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731796620000,0.0,0.112890625
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731796680000,0.0,0.112890625
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731796740000,0.0004893335786953,0.112890625
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731796800000,0.0001714920372677,0.112890625
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731796860000,0.0004857341522349,0.112875
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731796920000,0.0001159891290872,0.11240234375
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731796980000,0.000508007847197,0.1058645833333333
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731797040000,0.0002187527277247,0.10465625
