namespace,pod,container,timestamp,cpu-average
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731790740000,1.0011663673668416
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731790800000,1.0013096815138285
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731790860000,0.9987331746337196
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731790920000,0.9982442063099914
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731790980000,0.0585454132943893
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731791040000,0.0001584477061857
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731791100000,0.0006440461584917
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731791160000,0.0
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731791220000,0.0005423962742137
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731791280000,0.0001673740694031
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731791340000,0.0006106271327335
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731791400000,0.0
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731791460000,0.0005861632699228
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731791520000,0.0
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731791580000,0.0005618183859766
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731791640000,0.0
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731791700000,0.000457961649365
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731791760000,0.0001414032165211
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731791820000,0.000653620009321
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731791880000,0.0
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731791940000,0.0005554884338098
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731792000000,0.0
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731792060000,0.000450663272183
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731792120000,0.0001983941704395
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731792180000,0.0
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731792240000,0.0003384291540207
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731792300000,0.0
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731792360000,0.0002466353751206
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731792420000,0.0
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731792480000,8.718610960387767e-05
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731792540000,0.0
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731792600000,7.962626958096195e-06
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731792660000,0.0003800415466664
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731792720000,1.4214548852944055e-05
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731792780000,0.0
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731792840000,8.541775867099947e-06
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731792900000,0.0
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731792960000,0.0
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731793020000,0.0
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731793080000,0.0
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731793140000,0.0001426643527161
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731793200000,0.0005358618656331
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731793260000,0.0001356739825611
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731793320000,0.0004685194080663
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731793380000,0.000122804326908
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731793440000,0.0005587404041528
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731793500000,0.0001999606080566
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731793560000,0.0003883065171976
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731793620000,9.898207445896702e-05
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731793680000,0.0004825896972086
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731793740000,0.0001096538691506
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731793800000,0.0008198873988169
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731793860000,0.0002572481821061
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731793920000,0.0006644891799839
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731793980000,0.0001168744190165
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731794040000,0.0003684856518049
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731794100000,0.0002734137194388
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731794160000,0.0005590113851129
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731794220000,0.0001674972687451
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731794280000,0.0005994172310789
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731794340000,0.0001332427892075
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731794400000,0.0003270132155169
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731794460000,0.0001747515829115
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731794520000,0.0004800067457545
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731794580000,0.0001515936338335
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731794640000,0.0006366007839212
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731794700000,0.0001404391956901
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731794760000,0.0004176913485161
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731794820000,0.000108525204498
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731794880000,0.0004863675197232
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731794940000,0.0002069915520786
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731795000000,0.000408838109046
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731795060000,0.0002017511803986
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731795120000,0.0004204422051245
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731795180000,0.0001945363103403
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731795240000,0.0004743159947035
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731795300000,0.0001208695896695
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731795360000,0.0004788056235269
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731795420000,0.0001320070011667
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731795480000,0.0004360648439932
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731795540000,0.0001081287792723
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731795600000,0.0005022245229642
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731795660000,6.945162263295206e-05
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731795720000,0.0004478075475317
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731795780000,0.0001546298579928
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731795840000,0.0005925262460585
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731795900000,9.470703967904251e-06
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731795960000,0.0004057283714525
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731796020000,0.0
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731796080000,0.0004235920452468
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731796140000,0.0
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731796200000,0.0
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731796260000,0.0
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731796320000,0.0
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731796380000,0.0
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731796440000,0.0
free5gc,free5gc-amf-8745675cb-scvkr,amf,1731796500000,0.0001217697591158
