namespace,pod,container,timestamp,cpu-average
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731984600000,0.7833317331502473
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731984660000,0.835576773450798
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731984720000,0.9983077401790151
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731984780000,0.6309702248727135
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731984840000,9.25793779085828e-05
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731984900000,0
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731984960000,0.00011850226569832064
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731985020000,0
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731985080000,0
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731985140000,0.0005500929720615035
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731985200000,0.00013358312339972777
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731985260000,0
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731985320000,0
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731985380000,0.0005153803853642295
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731985440000,0.00016775494468008662
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731985500000,0
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731985560000,1.044432379108393e-05
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731985620000,0
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731985680000,0
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731985740000,0
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731985800000,0
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731985860000,0
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731985920000,9.146613084341548e-05
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731985980000,8.211789363365549e-05
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731986040000,0
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731986100000,0
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731986160000,0.0004460675199517834
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731986220000,6.324893468614976e-05
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731986280000,0
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731986340000,0.00015549496860070116
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731986400000,0
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731986460000,0.00017326763953714127
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731986520000,0.00037206892726732334
