namespace,pod,container,timestamp,mem-average
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731984600000,0.546921875
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731984660000,0.62662890625
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731984720000,0.66801171875
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731984780000,0.445859375
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731984840000,0.251453125
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731984900000,0.251453125
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731984960000,0.25386328125
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731985020000,0.253078125
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731985080000,0.25125
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731985140000,0.2467265625
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731985200000,0.2425703125
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731985260000,0.234109375
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731985320000,0.2344375
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731985380000,0.22893229166666665
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731985440000,0.2213125
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731985500000,0.217625
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731985560000,0.217640625
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731985620000,0.209765625
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731985680000,0.20303125
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731985740000,0.19609895833333332
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731985800000,0.194609375
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731985860000,0.194609375
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731985920000,0.19355078125
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731985980000,0.1841328125
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731986040000,0.183734375
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731986100000,0.1833125
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731986160000,0.18332291666666667
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731986220000,0.183328125
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731986280000,0.183453125
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731986340000,0.1568125
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731986400000,0.15690625
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731986460000,0.15692708333333336
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731986520000,0.15697265625
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731986580000,0.156984375
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731986640000,0.1569739583333333
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731986700000,0.15696875
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731986760000,0.15685416666666666
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731986820000,0.15680729166666668
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731986880000,0.15683333333333335
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731986940000,0.15684375
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731987000000,0.156875
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731987060000,0.156875
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731987120000,0.15679296875
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731987180000,0.15677604166666664
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731987240000,0.15678125
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731987300000,0.15678125
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731987360000,0.156828125
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731987420000,0.15684375
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731987480000,0.15684375
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731987540000,0.15684375
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731987600000,0.15685546875
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731987660000,0.15008854166666669
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731987720000,0.14585546875
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731987780000,0.14624479166666665
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731987840000,0.146265625
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731987900000,0.146265625
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731987960000,0.14630729166666664
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731988020000,0.146328125
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731988080000,0.146328125
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731988140000,0.146328125
free5gc,free5gc-amf-8745675cb-g6fc7,amf,1731988200000,0.14316145833333335
