namespace,pod,container,timestamp,cpu-average,mem-average,throughput-average
free5gc,free5gc-nwdaf-mtlf-55fb95c6d6-9bg7n,nwdaf-mtlf,1733539200000,0.0,0.0282204861111111,36.54271270302249
free5gc,free5gc-nwdaf-mtlf-55fb95c6d6-9bg7n,nwdaf-mtlf,1733539260000,0.0,0.0282204861111111,16.12136494223178
free5gc,free5gc-nwdaf-mtlf-55fb95c6d6-9bg7n,nwdaf-mtlf,1733539320000,0.0,0.0282204861111111,37.76223985890652
free5gc,free5gc-nwdaf-mtlf-55fb95c6d6-9bg7n,nwdaf-mtlf,1733539380000,0.0,0.0282204861111111,23.951320559295706
free5gc,free5gc-nwdaf-mtlf-55fb95c6d6-9bg7n,nwdaf-mtlf,1733539440000,0.0,0.0282204861111111,34.2719614921781
free5gc,free5gc-nwdaf-mtlf-55fb95c6d6-9bg7n,nwdaf-mtlf,1733539500000,0.0004036785172339,0.0282204861111111,16.472724968849654
free5gc,free5gc-nwdaf-mtlf-55fb95c6d6-9bg7n,nwdaf-mtlf,1733539560000,0.0,0.0281568287037037,37.19284826465245
free5gc,free5gc-nwdaf-mtlf-55fb95c6d6-9bg7n,nwdaf-mtlf,1733539620000,0.0,0.0264756944444444,14.946514922092511
free5gc,free5gc-nwdaf-mtlf-55fb95c6d6-9bg7n,nwdaf-mtlf,1733539680000,0.0,0.0264756944444444,44.759502874150826
free5gc,free5gc-nwdaf-mtlf-55fb95c6d6-9bg7n,nwdaf-mtlf,1733539740000,5.0505048826344144e-05,0.0264756944444444,25.16921331009605
free5gc,free5gc-nwdaf-mtlf-55fb95c6d6-9bg7n,nwdaf-mtlf,1733539800000,4.186358494474248e-05,0.0264756944444444,44.16254568909912
free5gc,free5gc-nwdaf-mtlf-55fb95c6d6-9bg7n,nwdaf-mtlf,1733539860000,0.0,0.0264756944444444,25.501412916121023
free5gc,free5gc-nwdaf-mtlf-55fb95c6d6-9bg7n,nwdaf-mtlf,1733539920000,4.4761189680560105e-05,0.0264756944444444,57.35147279081379
free5gc,free5gc-nwdaf-mtlf-55fb95c6d6-9bg7n,nwdaf-mtlf,1733539980000,0.0003599579670652,0.0264756944444444,20.29593043766991
free5gc,free5gc-nwdaf-mtlf-55fb95c6d6-9bg7n,nwdaf-mtlf,1733540040000,3.266758936093231e-05,0.0264756944444444,37.03912610224303
free5gc,free5gc-nwdaf-mtlf-55fb95c6d6-9bg7n,nwdaf-mtlf,1733540100000,0.0002755837857142,0.0264756944444444,13.292484854020156
free5gc,free5gc-nwdaf-mtlf-55fb95c6d6-9bg7n,nwdaf-mtlf,1733540160000,2.547998445394644e-05,0.026484375,44.78555698493339
free5gc,free5gc-nwdaf-mtlf-55fb95c6d6-9bg7n,nwdaf-mtlf,1733540220000,0.0003158516604458,0.0263946759259259,24.37845910568392
