namespace,pod,container,timestamp,cpu_usage
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731517380000,0.0
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731517440000,0.0
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731517500000,0.0
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731517560000,0.0
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731517620000,0.0
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731517680000,0.0
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731517740000,0.0
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731517800000,0.0
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731517860000,0.0
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731517920000,0.0
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731517980000,0.0
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731518040000,0.0
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731518100000,0.0
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731518160000,0.00013443902784610165
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731518220000,0.0
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731518280000,0.00016734648684015922
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731518340000,0.0
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731518400000,0.0
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731518460000,0.00046328111588048095
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731518520000,0.0
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731518580000,0.000537743609789891
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731518640000,0.0
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731518700000,0.0005125525162755626
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731518760000,0.00017599075356954411
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731518820000,0.00035887585681666957
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731518880000,0.0
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731518940000,0.0
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731519000000,0.0
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731519060000,0.0
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731519120000,0.00019288077586114227
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731519180000,0.0005244944296029389
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731519240000,0.00012768627173171873
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731519300000,0.0006732195554282644
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731519360000,0.00022011970578454085
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731519420000,0.000723271500132627
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731519480000,0.0
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731519540000,0.0
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731519600000,0.0002023235658062867
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731519660000,0.0005149474072019711
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731519720000,0.00011747870151125764
