namespace,pod,container,timestamp,cpu_usage
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731517380000,0.0
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731517440000,0.0
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731517500000,0.0
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731517560000,0.0
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731517620000,0.0
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731517680000,0.0
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731517740000,0.0
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731517800000,0.0
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731517860000,0.0
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731517920000,0.0
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731517980000,0.0
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731518040000,0.0
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731518100000,0.0
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731518160000,0.0001344390278461
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731518220000,0.0
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731518280000,0.0001673464868401
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731518340000,0.0
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731518400000,0.0
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731518460000,0.0004632811158804
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731518520000,0.0
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731518580000,0.0005377436097898
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731518640000,0.0
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731518700000,0.0005125525162755
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731518760000,0.0001759907535695
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731518820000,0.0003588758568166
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731518880000,0.0
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731518940000,0.0
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731519000000,0.0
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731519060000,0.0
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731519120000,0.0001928807758611
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731519180000,0.0005244944296029
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731519240000,0.0001276862717317
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731519300000,0.0006732195554282
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731519360000,0.0002201197057845
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731519420000,0.0007232715001326
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731519480000,0.0
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731519540000,0.0
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731519600000,0.0002023235658062
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731519660000,0.0005149474072019
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731519720000,0.0001174787015112
free5gc,free5gc-amf-85ccf47dc8-bpzm2,amf,1731519780000,0.0005041376224105
